FID,id,knoopid,volgnr,nodeid,geoid,netwerkid,netwerk,nettype,beschr,startdate,stopdate,geom,codetype
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d20,123006944,6944,20,6915,27770184,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.750691726974352 50.79307058163528),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d1f,123006946,6946,23,6917,27769981,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7562494963844393 50.79137149922215),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d1e,123006952,6952,12,6923,27769598,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7411570102691356 50.78175748318586),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d1d,123006953,6953,13,6924,27769486,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7437750455334524 50.78276655250493),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d1c,123006954,6954,46,6925,27769331,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7663071900173866 50.783664594638545),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d1b,123006955,6955,45,6926,27769327,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7670470300168923 50.78383127609129),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d1a,123006956,6956,44,6927,27770014,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.768609371849486 50.78192158131238),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d19,123006957,6957,10,6928,27769412,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7721367788176274 50.78162496158874),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d18,123005754,5754,68,5714,27769282,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.774789037480929 50.7687359449308),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d17,123006958,6958,11,6929,27769758,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.787632009352873 50.77898336696084),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d16,123006962,6962,60,6933,27769223,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.79053393275851 50.77904941448355),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d15,123005669,5669,3,5626,27770730,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7336277648810356 50.796380271843745),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d14,123006960,6960,50,6931,27769296,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7823799945558796 50.792722170582955),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d13,123006959,6959,51,6930,27770736,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7830242079846634 50.792284539041404),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d12,123006961,6961,49,6932,27770663,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7767340302230483 50.78938888508088),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d11,123006963,6963,43,6934,27769700,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7619344391350342 50.779947671218906),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d10,123006964,6964,42,6935,27770702,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.762486562653607 50.774816976399286),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d0f,123005734,5734,30,5694,27770112,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7722811056413548 50.790707292317585),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d0e,123006965,6965,66,6936,27770148,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7690219201301334 50.76948834880556),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d0d,123006966,6966,67,6937,27770319,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7744438924976156 50.77096216373091),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d0c,123006967,6967,57,6938,27769726,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.776920323316008 50.771630538971564),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d0b,123006968,6968,56,6939,27769858,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7756790460169314 50.77455339249507),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d0a,123006972,6972,64,6944,27770696,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.8016841786250937 50.772055718341086),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d09,123006971,6971,63,6942,27770695,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.8020688834546728 50.77877831626262),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d08,123006973,6973,59,6943,27770697,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.7956135033634038 50.77306141462734),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d07,123006970,6970,61,6941,27770629,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.796848868492403 50.779235598917765),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d06,123006969,6969,69,6940,27770667,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.777418491074666 50.76990835895983),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5d05,123006974,6974,14,6945,27769524,123,Wandelnetwerk Heuvelland,WANDEL,Wandelen,,,POINT (2.796323261517585 50.80043667574908),NETWERK
