FID,id,knoopid,volgnr,nodeid,geoid,netwerkid,netwerk,nettype,beschr,startdate,stopdate,geom,codetype
knoop_full_export.fid--16c1f25b_14b3a583521_27a4,125006008,6008,23,5980,29034070,125,Fietsnetwerk Brugse Ommeland,FIETS,Fietsen,,,POINT (2.920816687009479 51.137860534298845),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_27a5,127006008,6008,23,5980,29034070,127,Fietsnetwerk Westhoek,FIETS,Fietsen,,,POINT (2.920816687009479 51.137860534298845),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_27a6,125006197,6197,29,6170,29033712,125,Fietsnetwerk Brugse Ommeland,FIETS,Fietsen,,,POINT (3.0963229901737392 50.996011318671684),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_27a7,127006197,6197,29,6170,29033712,127,Fietsnetwerk Westhoek,FIETS,Fietsen,,,POINT (3.0963229901737392 50.996011318671684),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_27a8,125006228,6228,18,6201,29034886,125,Fietsnetwerk Brugse Ommeland,FIETS,Fietsen,,,POINT (2.8791234192595616 51.171909080134654),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_27a9,127006228,6228,18,6201,29034886,127,Fietsnetwerk Westhoek,FIETS,Fietsen,,,POINT (2.8791234192595616 51.171909080134654),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_27aa,126006469,6469,65,6443,29034717,126,Fietsnetwerk Leiestreek,FIETS,Fietsen,,,POINT (3.0121945662547023 50.931752566965415),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_27ab,127006469,6469,65,6443,29034717,127,Fietsnetwerk Westhoek,FIETS,Fietsen,,,POINT (3.0121945662547023 50.931752566965415),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_27ac,126006527,6527,41,6501,29033638,126,Fietsnetwerk Leiestreek,FIETS,Fietsen,,,POINT (3.00424238558791 50.85002756149866),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_27ad,127006527,6527,41,6501,29033638,127,Fietsnetwerk Westhoek,FIETS,Fietsen,,,POINT (3.00424238558791 50.85002756149866),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_27ae,126006544,6544,45,6518,29033579,126,Fietsnetwerk Leiestreek,FIETS,Fietsen,,,POINT (2.9465812488108023 50.804752964275984),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_27af,127006544,6544,45,6518,29033579,127,Fietsnetwerk Westhoek,FIETS,Fietsen,,,POINT (2.9465812488108023 50.804752964275984),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_27b0,126006528,6528,1,6502,29033838,126,Fietsnetwerk Leiestreek,FIETS,Fietsen,,,POINT (3.0479414754494867 50.82670117775093),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_27b1,127006528,6528,1,6502,29033838,127,Fietsnetwerk Westhoek,FIETS,Fietsen,,,POINT (3.0479414754494867 50.82670117775093),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_27b2,126006429,6429,37,6403,29034382,126,Fietsnetwerk Leiestreek,FIETS,Fietsen,,,POINT (3.0591144497618257 50.84248091982177),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_27b3,127006429,6429,37,6403,29034382,127,Fietsnetwerk Westhoek,FIETS,Fietsen,,,POINT (3.0591144497618257 50.84248091982177),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_27b4,219007196,7196,35,7173,29034518,219,FNW Zeeuws VL_OVL,FIETS,Fietsen,,,POINT (3.4773189619895377 50.866153238837256),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_27b5,126007196,7196,35,7173,29034518,126,Fietsnetwerk Leiestreek,FIETS,Fietsen,,,POINT (3.4773189619895377 50.866153238837256),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_27b6,219007192,7192,34,7169,29034977,219,FNW Zeeuws VL_OVL,FIETS,Fietsen,,,POINT (3.473778188395142 50.87284203793952),NETWERK
