FID,code,id,oldnr,newnr,oldstatus,newstatus,change,ok
373,MI,6415,80,80,FIX,FIX,0,1
374,MK,6417,89,89,EXT,EXT,0,1
375,MN,6420,92,92,IN,FIX,0,1
376,MM,6419,91,47,IN,FIX,1,1
377,MP,6422,81,72,IN,FIX,1,1
378,MQ,6423,82,82,IN,FIX,0,1
379,MR,6424,63,55,IN,FIX,1,1
380,MT,6426,62,62,IN,FIX,0,1
381,MS,6425,52,84,IN,FIX,1,1
382,MO,6421,90,67,IN,FIX,1,1
383,MU,6427,48,48,IN,FIX,0,1
384,MV,6428,66,66,IN,FIX,0,1
385,MY,6431,42,42,IN,FIX,0,1
386,MZ,6432,11,11,IN,FIX,0,1
387,M0,6433,5,90,IN,FIX,1,1
388,M1,6434,4,4,IN,FIX,0,1
389,M2,6435,16,16,IN,FIX,0,1
390,M3,6436,28,28,IN,FIX,0,1
391,M4,6437,18,18,IN,FIX,0,1
392,M5,6438,17,48,IN,FIX,1,1
393,M6,6439,74,74,IN,FIX,0,1
394,M7,6440,73,73,IN,FIX,0,1
395,M8,6441,71,97,IN,FIX,1,1
396,M9,6442,70,70,IN,FIX,0,1
397,NA,6443,72,72,IN,FIX,0,1
398,NB,6444,6,6,IN,FIX,0,1
399,NC,6445,7,81,IN,FIX,1,1
400,ND,6446,75,75,IN,FIX,0,1
401,NE,6447,3,3,IN,FIX,0,1
402,NF,6448,2,-1,DEL,DEL,1,1
403,NH,6450,10,85,IN,FIX,1,1
404,NI,6451,19,82,IN,FIX,1,1
405,NJ,6452,29,-1,DEL,DEL,1,1
406,NM,6455,49,49,IN,FIX,0,1
407,NK,6453,47,-1,DEL,DEL,1,1
408,NL,6454,48,-1,DEL,DEL,1,1
409,NN,6456,36,-1,DEL,DEL,1,1
410,NO,6457,46,-1,DEL,DEL,1,1
411,NP,6458,-37,86,FIX,FIX,1,1
412,NQ,6459,39,39,FIX,FIX,0,1
413,NR,6460,40,40,FIX,FIX,0,1
414,NS,6461,41,41,FIX,FIX,0,1
415,NT,6462,-38,98,FIX,FIX,1,1
