XCoord;YCoord;knoopid;NETWERKID;NETWERK;code;STATUS;lon_x;lat_y
357951,11898778;6603872,44288743;6173;10;125;Fietsnetwerk Brugse Ommeland;FZ;OUT;3,215530;51,089507
357711,64996027;6605928,24722133;6174;93;125;Fietsnetwerk Brugse Ommeland;F0;OUT;3,213378;51,101136
357294,55466209;6596082,35062813;6175;21;125;Fietsnetwerk Brugse Ommeland;F1;OUT;3,209632;51,045414
365121,95765716;6606608,36003543;6176;27;125;Fietsnetwerk Brugse Ommeland;F2;OUT;3,279946;51,104982
365515,75469400;6607090,08881100;6177;26;125;Fietsnetwerk Brugse Ommeland;F3;OUT;3,283484;51,107706
296030,87846536;6600508,51793049;6120;2;127;Fietsnetwerk Westhoek;EL;DEL;2,659291;51,070472
296823,07008999;6600949,34034768;6121;68;127;Fietsnetwerk Westhoek;EM;FIX;2,666407;51,072967
297658,33917442;6603532,18022364;6124;5;127;Fietsnetwerk Westhoek;EO;FIX;2,673910;51,087582
293679,55967717;6608588,79731474;6125;65;127;Fietsnetwerk Westhoek;EP;FIX;2,638168;51,116181
298409,07618536;6608965,76324429;6154;66;127;Fietsnetwerk Westhoek;FG;TODO;2,680654;51,118312
367576,93780769;6606852,61975527;6178;28;125;Fietsnetwerk Brugse Ommeland;F4;OUT;3,302000;51,106363
368974,47060066;6607203,69493977;6179;29;125;Fietsnetwerk Brugse Ommeland;F5;OUT;3,314554;51,108349
369620,30736485;6608568,12589336;6180;30;125;Fietsnetwerk Brugse Ommeland;F6;OUT;3,320356;51,116064
372669,78215700;6607532,28039018;6181;97;125;Fietsnetwerk Brugse Ommeland;F7;OUT;3,347750;51,110207
372589,04983257;6606676,40844334;6182;92;125;Fietsnetwerk Brugse Ommeland;F8;OUT;3,347024;51,105367
369892,89919164;6604989,79516031;6184;31;125;Fietsnetwerk Brugse Ommeland;GA;OUT;3,322804;51,095827
370841,23185305;6605530,16289273;6183;98;125;Fietsnetwerk Brugse Ommeland;F9;OUT;3,331323;51,098884
367768,17631540;6605621,10208614;6185;32;125;Fietsnetwerk Brugse Ommeland;GB;OUT;3,303718;51,099398
370678,19696603;6601111,17022802;6186;35;125;Fietsnetwerk Brugse Ommeland;GC;OUT;3,329859;51,073882
367714,13602622;6599676,82189195;6187;34;125;Fietsnetwerk Brugse Ommeland;GD;OUT;3,303232;51,065764
364963,75699057;6598231,26540788;6188;25;125;Fietsnetwerk Brugse Ommeland;GE;OUT;3,278525;51,057581
346892,50012164;6594633,85546621;6190;5;125;Fietsnetwerk Brugse Ommeland;GG;OUT;3,116188;51,037211
349585,71109728;6592935,02984220;6191;14;125;Fietsnetwerk Brugse Ommeland;GH;OUT;3,140382;51,027588
