XCoord;YCoord;NETWERKID;PID;STATUS;STARTCODE;ENDCODE
340067,34688820;6570701,99500650;0; ;NEW;W6;W7
330719,45124443;6556660,12107620;0; ;NEW;PO;XA
333197,31268429;6555491,95560230;0; ;NEW;XA;W9
335574,92390693;6555671,77289734;0; ;NEW;W9;PN
334255,79975004;6553828,64325227;0; ;NEW;W9;XB
325130,16902783;6553605,26327321;0; ;NEW;RX;XC
324573,43292048;6554561,59626330;0; ;NEW;XC;RW
327667,86438282;6554441,40808538;0; ;NEW;P2;XD
328104,84949007;6553683,02226582;0; ;NEW;XD;P1
330195,64559287;6554169,24754881;0; ;NEW;XA;XD
323397,59028520;6556618,53062417;0; ;NEW;RU;XE
324602,12066422;6556983,93969574;0; ;NEW;XE;XF
325386,53902563;6557081,38394882;0; ;NEW;XF;XG
325072,02241541;6556116,07337532;0; ;NEW;XE;XG
327079,67066473;6557326,34694319;0; ;NEW;XG;W1
325225,21080187;6558271,59626796;0; ;NEW;XF;RT
321953,73884661;6561347,44429589;0; ;NEW;RS;R4
322348,54140324;6564834,81031151;0; ;NEW;XH;R2
321155,14197131;6563018,45059586;0; ;NEW;R8;XH
321363,51838841;6562179,61461662;0; ;NEW;XH;R6
320827,99232412;6561908,58392469;0; ;NEW;R6;XI
320014,68441275;6561770,55322830;0; ;NEW;XI;XJ
319913,59297293;6561524,03640271;0; ;NEW;XJ;RR
320122,06077587;6560724,23294022;0; ;NEW;RR;XK
320964,72845672;6560905,01852069;0; ;NEW;RS;XI
320731,97885865;6558715,46652546;0; ;NEW;XK;RV
320776,68598424;6556364,69889236;0; ;NEW;RV;XL
322262,86869826;6554703,53375220;0; ;NEW;XL;XC
319982,19723271;6555373,88721213;0; ;NEW;R0;XL
329089,64058881;6552130,78489286;0; ;NEW;P1;XM
322989,77974624;6547162,16170777;0; ;NEW;XN;RY
324089,95817761;6545303,71191016;0; ;NEW;XN;XO
320589,70456695;6546231,50453818;0; ;NEW;XN;RI
318443,05411131;6546907,58093926;0; ;NEW;RI;XP
317871,49158648;6544876,88148342;0; ;NEW;XP;XQ
316461,04891905;6545866,68491062;0; ;NEW;XP;XR
314814,87537654;6544699,90269184;0; ;NEW;XR;RJ
316188,86397580;6543602,65433469;0; ;NEW;XT;XQ
314539,74631512;6543329,21287605;0; ;NEW;RJ;XT
314493,37205342;6542256,88001496;0; ;NEW;XT;XS
311283,80440456;6540557,84417014;0; ;NEW;XS;XU
309746,25244691;6542498,89570193;0; ;NEW;XV;XW
312234,95459090;6543025,82495832;0; ;NEW;XW;RJ
310093,54684562;6544575,26849357;0; ;NEW;XX;XW
310067,36588576;6546986,40654172;0; ;NEW;RK;XX
309141,02241073;6546066,27043614;0; ;NEW;XX;XY
307280,02180548;6545357,48539173;0; ;NEW;XY;XZ
305962,78227738;6547045,55100655;0; ;NEW;XY;X0
314859,61792493;6547375,34913115;0; ;NEW;XR;YF
313385,44360681;6548631,04298041;0; ;NEW;RG;X1
311937,01002654;6547907,86207808;0; ;NEW;RK;X1
312538,64790683;6549033,76973532;0; ;NEW;X1;X2
313575,43242016;6549804,52196338;0; ;NEW;RF;X3
312166,07586546;6549637,05796884;0; ;NEW;X2;X3
311284,29372692;6549260,12621205;0; ;NEW;SA;X2
309671,53109668;6550319,86212187;0; ;NEW;RL;X5
310572,52227006;6551497,32676430;0; ;NEW;X5;RO
311796,31089463;6551019,99158127;0; ;NEW;RO;X4
312284,99304238;6550406,02780158;0; ;NEW;X3;X4
313013,43518057;6551702,13440995;0; ;NEW;X4;RP
310849,42176969;6552905,91618066;0; ;NEW;RO;X6
308908,98890444;6554809,66479130;0; ;NEW;X6;RN
310336,00529296;6554960,11781343;0; ;NEW;X6;X7
312501,24632725;6554046,20147635;0; ;NEW;RP;X7
316130,83659184;6553876,57308653;0; ;NEW;R1;X8
315418,81022076;6556844,69589165;0; ;NEW;X8;YA
316922,98164740;6557001,16812964;0; ;NEW;X8;RQ
318773,58320151;6557707,81933660;0; ;NEW;X9;XK
307896,44761953;6551241,77236437;0; ;NEW;X5;YG
304127,79722952;6550709,76910138;0; ;NEW;RM;YJ
305848,81711882;6552404,82027080;0; ;NEW;RM;YG
307242,49846326;6553357,35385759;0; ;NEW;YG;RN
312010,69167078;6558433,27658895;0; ;NEW;YB;X7
309738,03752798;6557739,60749384;0; ;NEW;RC;X7
308602,88224411;6559981,69786555;0; ;NEW;RC;YC
304063,67981292;6553961,89066638;0; ;NEW;Q3;YN
302839,02803516;6555227,06197774;0; ;NEW;Q3;YO
300998,68867882;6555245,09105447;0; ;NEW;YO;Q4
301512,86475389;6553849,35186740;0; ;NEW;YO;YL
