XCoord;YCoord;FID;NETWERKID;PID;STATUS;STARTCODE;ENDCODE
384019,98144080;6547580,07075422;1216;0; ;NEW;1P;PI
383931,64768666;6545780,78521387;1217;0; ;NEW;PH;1Q
382730,50037256;6544775,69688083;1218;0; ;NEW;1Q;PX
381385,02927737;6550610,09395199;1219;0; ;NEW;VJ;1R
378428,10368190;6551600,13016557;1220;0; ;NEW;1R;1S
376509,61984891;6550638,67037442;1221;0; ;NEW;1S;PS
376604,12688863;6551703,57314990;1222;0; ;NEW;1S;1T
373061,80558552;6555063,94991157;1223;0; ;NEW;1V;1U
373588,91160677;6553750,66360150;1224;0; ;NEW;O7;1V
374380,80498535;6553196,41218614;1225;0; ;NEW;O8;1U
372875,97184035;6556148,47998056;1226;0; ;NEW;1U;N8
371954,53796754;6556378,43706841;1227;0; ;NEW;1X;N8
372197,06733569;6556803,14197894;1228;0; ;NEW;N8;1Y
371215,15681813;6557624,44382193;1229;0; ;NEW;1Y;1Z
369536,58346853;6557451,69097095;1230;0; ;NEW;NM;1Z
369934,39168622;6558548,05295918;1231;0; ;NEW;1Z;NX
370155,80773754;6556489,86896364;1232;0; ;NEW;NM;1X
366997,20345639;6558136,92232743;1233;0; ;NEW;1Z;10
375575,34729645;6552796,89448144;1234;0; ;NEW;O7;1T
378545,73663047;6554848,71428747;1235;0; ;NEW;PE;1T
383506,21532024;6552740,72222736;1236;0; ;NEW;PG;1N
380868,45597315;6553458,64838040;1237;0; ;NEW;PG;1R
378701,67587002;6560778,86296543;1238;0; ;NEW;N4;12
379426,73372123;6557826,14942034;1239;0; ;NEW;PE;12
376655,60863614;6559050,88094933;1240;0; ;NEW;N6;12
372554,91595091;6557343,05566498;1241;0; ;NEW;1Y;N7
372283,92187597;6561376,43349973;1242;0; ;NEW;N2;N3
374066,43362113;6564694,59172887;1243;0; ;NEW;1J;MR
371808,25094104;6565505,05185189;1244;0; ;NEW;1J;MH
