XCoord;YCoord;FID;KNOOPID;VOLGNR;NETWERKID;CODE;STATUS;LON_X;LAT_Y
310907,57523899;6593262,33203545;242;6264;47;127;IG;FIX;2,792930;51,029442
308446,40407519;6593896,84574947;243;6265;23;127;IH;FIX;2,770821;51,033036
307927,90910734;6593860,93922936;244;6266;46;127;II;FIX;2,766163;51,032833
307946,29401410;6595923,91950274;245;6267;34;127;IJ;FIX;2,766329;51,044517
311406,83101075;6601523,76541419;246;6268;35;127;IK;FIX;2,797415;51,076217
312604,36504379;6599557,88589739;247;6269;38;127;IL;FIX;2,808173;51,065091
314553,97650870;6596566,44646681;248;6271;4;127;IN;FIX;2,825686;51,048155
314443,12403035;6596550,86672130;249;6270;3;127;IM;FIX;2,824691;51,048067
322774,11494055;6602761,08377421;250;6287;9;127;I3;FIX;2,899529;51,083219
322433,56645568;6605323,85724757;251;6288;25;127;I4;FIX;2,896470;51,097717
325144,20301205;6606818,29467695;252;6289;53;127;I5;FIX;2,920820;51,106169
324308,88348189;6608463,74952411;253;6290;52;127;I6;FIX;2,913316;51,115474
325828,32464856;6601120,23449315;254;6292;12;127;I8;FIX;2,926966;51,073934
319744,21211741;6612045,33521348;255;6291;22;127;I7;FIX;2,872311;51,135720
291620,45684608;6585237,41237372;256;6293;40;127;I9;FIX;2,619671;50,983960
295848,93475085;6587479,23163663;257;6294;41;127;JA;FIX;2,657656;50,996671
297142,68843633;6587122,52288579;258;6295;42;127;JB;FIX;2,669278;50,994648
298795,15182642;6584728,52796276;259;6296;53;127;JC;FIX;2,684123;50,981075
298353,64867656;6582096,65968817;260;6297;75;127;JD;FIX;2,680156;50,966148
303865,67749036;6582890,77390530;261;6298;76;127;JE;FIX;2,729672;50,970652
304720,49905649;6583112,23587791;262;6299;55;127;JF;FIX;2,737351;50,971908
304507,48211721;6580529,80090623;263;6300;59;127;JG;FIX;2,735437;50,957259
302990,29555662;6579195,62675021;264;6301;60;127;JH;FIX;2,721808;50,949689
302038,68407028;6578756,65949223;265;6302;61;127;JI;FIX;2,713260;50,947198
297562,62097743;6577444,17932680;266;6303;62;127;JJ;FIX;2,673051;50,939749
296324,30453873;6579247,93276807;267;6304;77;127;JK;FIX;2,661927;50,949986
293165,29273670;6578477,41578054;268;6305;54;127;JL;FIX;2,633549;50,945613
314402,28457968;6580996,86023224;269;6306;5;127;JM;FIX;2,824324;50,959909
