XCoord;YCoord;NETWERKID;NETWERK;PID;STATUS;STARTCODE;ENDCODE
362269,22181156;6573286,61727630;126;Fietsnetwerk Leiestreek;6387-6387;NIV;LQ;#N/A
364212,01853741;6572922,13304918;126;Fietsnetwerk Leiestreek;6387-6391;FIX;LU;LQ
368373,95397112;6575242,16472559;126;Fietsnetwerk Leiestreek;6361-6362;FIX;K2;K3
369698,78673474;6557693,67443469;126;Fietsnetwerk Leiestreek;6453-6453;NIV;#N/A;NJ
380201,15037113;6572209,41834862;126;Fietsnetwerk Leiestreek;6415-6416;FIX;MI;MH
381749,16159459;6571721,61348051;126;Fietsnetwerk Leiestreek;6416-6417;FIX;MJ;MI
381548,38559024;6570020,37632479;126;Fietsnetwerk Leiestreek;6417-6421;FIX;MJ;MN
380502,96468492;6567977,62135708;126;Fietsnetwerk Leiestreek;6419-6421;FIX;MN;ML
382683,53978210;6575871,79706033;126;Fietsnetwerk Leiestreek;6409-6409;NIV;MC;#N/A
382354,95216336;6576102,58953756;126;Fietsnetwerk Leiestreek;6409-6410;FIX;MD;MC
374569,36590680;6552603,87191671;126;Fietsnetwerk Leiestreek;6514-6514;NIV;#N/A;O7
355709,68713662;6579017,17638695;126;Fietsnetwerk Leiestreek;6359-6360;FIX;K1;K0
372604,22791812;6579427,61463411;126;Fietsnetwerk Leiestreek;6341-6371;FIX;LB;KK
359809,23892829;6555863,19222024;126;Fietsnetwerk Leiestreek;6451-6451;NIV;#N/A;NH
347116,66617497;6551920,95230418;126;Fietsnetwerk Leiestreek;6446-6447;FIX;NC;ND
349491,57243451;6554072,74980800;126;Fietsnetwerk Leiestreek;6445-6446;FIX;NB;NC
355446,57155098;6556949,12290307;126;Fietsnetwerk Leiestreek;6438-6445;FIX;NB;M4
359406,71138286;6556979,68541471;126;Fietsnetwerk Leiestreek;6437-6438;FIX;M4;M3
354922,96706973;6553346,96161619;126;Fietsnetwerk Leiestreek;6450-6450;NIV;#N/A;NG
354950,11228398;6553163,56796523;126;Fietsnetwerk Leiestreek;6450-6450;NIV;#N/A;NG
354954,99334260;6553022,24828068;126;Fietsnetwerk Leiestreek;-;NIV;#N/A;#N/A
354955,48108702;6553191,38767651;126;Fietsnetwerk Leiestreek;6450-6450;NIV;#N/A;NG
344185,85704976;6554388,20823126;126;Fietsnetwerk Leiestreek;6439-6440;FIX;M6;M5
342194,50582974;6552117,01295403;126;Fietsnetwerk Leiestreek;6439-6448;FIX;NE;M5
365968,16681573;6572556,81583857;126;Fietsnetwerk Leiestreek;6391-6392;FIX;LV;LU
375986,49653895;6548773,99520015;126;Fietsnetwerk Leiestreek;6516-6517;FIX;O9;PA
374991,74151683;6546433,34305321;126;Fietsnetwerk Leiestreek;6517-6537;FIX;PA;PU
373903,30164203;6576576,88737583;126;Fietsnetwerk Leiestreek;6403-6404;FIX;L6;L7
384063,68295506;6562416,78073608;126;Fietsnetwerk Leiestreek;6478-6479;FIX;O9;N8
381251,19806705;6565118,07285966;126;Fietsnetwerk Leiestreek;6420-6479;FIX;MM;O9
381804,05904741;6562477,87536625;126;Fietsnetwerk Leiestreek;6479-6498;FIX;O9;OT
346600,95902256;6559368,28505607;126;Fietsnetwerk Leiestreek;6434-6442;FIX;M8;M0
375231,42427643;6551313,14487377;126;Fietsnetwerk Leiestreek;6513-6515;FIX;O6;O8
369851,91870771;6570483,91333965;126;Fietsnetwerk Leiestreek;6394-6394;NIV;#N/A;LX
346862,50674383;6552300,92688335;126;Fietsnetwerk Leiestreek;-;NIV;#N/A;#N/A
369651,94313627;6571630,47810668;126;Fietsnetwerk Leiestreek;6393-6393;NIV;#N/A;LW
372093,33760355;6568545,58031476;126;Fietsnetwerk Leiestreek;6395-6395;NIV;LY;#N/A
372148,66241235;6568765,67250829;126;Fietsnetwerk Leiestreek;6395-6395;NIV;LY;#N/A
344506,51485586;6563179,65150572;126;Fietsnetwerk Leiestreek;6427-6428;FIX;MU;MT
340189,50113875;6563102,81985676;126;Fietsnetwerk Leiestreek;6427-6430;FIX;MT;MW
343366,65418037;6565563,51268461;126;Fietsnetwerk Leiestreek;6375-6427;FIX;MT;LF
338076,77035003;6566080,92690156;126;Fietsnetwerk Leiestreek;6375-6376;FIX;LF;LG
349503,04091858;6578646,86919212;126;Fietsnetwerk Leiestreek;6355-6358;FIX;KW;KZ
348383,67781955;6578151,70205695;126;Fietsnetwerk Leiestreek;6351-6355;FIX;KS;KW
346482,20223640;6579313,27100843;126;Fietsnetwerk Leiestreek;6347-6351;FIX;KS;KP
343929,47098858;6577934,74599673;126;Fietsnetwerk Leiestreek;6347-6348;DEL;KP;KQ
342217,72791225;6576372,47136331;126;Fietsnetwerk Leiestreek;6348-6997;DEL;KQ;SB
348713,40666911;6578422,17386702;126;Fietsnetwerk Leiestreek;-;NIV;#N/A;#N/A
347281,93358159;6578426,48143048;126;Fietsnetwerk Leiestreek;-;NIV;#N/A;#N/A
347562,69088928;6578406,64578601;126;Fietsnetwerk Leiestreek;-;NIV;#N/A;#N/A
363681,71168635;6558729,39614614;126;Fietsnetwerk Leiestreek;6436-6436;NIV;#N/A;M2
368532,80974687;6563613,59941524;126;Fietsnetwerk Leiestreek;6398-6400;FIX;L1;L3
362323,86799436;6573277,11023848;126;Fietsnetwerk Leiestreek;-;NIV;#N/A;#N/A
372290,45321689;6568588,27772655;126;Fietsnetwerk Leiestreek;6413-6413;NIV;#N/A;MF
369339,66051849;6564716,50924524;126;Fietsnetwerk Leiestreek;6414-6464;FIX;MG;NU
371307,17371712;6567272,57519107;126;Fietsnetwerk Leiestreek;6414-6414;NIV;MG;#N/A
372732,39847462;6565174,04292436;126;Fietsnetwerk Leiestreek;6414-6424;FIX;MQ;MG
376527,16597723;6564677,44471612;126;Fietsnetwerk Leiestreek;6423-6424;FIX;MQ;MP
378071,21554474;6565275,25824240;126;Fietsnetwerk Leiestreek;6422-6423;FIX;MP;MO
371281,25065783;6557462,27622747;126;Fietsnetwerk Leiestreek;6454-6477;FIX;N7;NK
344220,04389233;6567836,87793086;126;Fietsnetwerk Leiestreek;6374-6375;FIX;LE;LF
345362,38197684;6570297,11208345;126;Fietsnetwerk Leiestreek;6373-6374;FIX;LE;LD
345122,70333967;6572309,71951423;126;Fietsnetwerk Leiestreek;6357-6373;FIX;LD;KY
346988,37656266;6573268,11586008;126;Fietsnetwerk Leiestreek;6356-6357;FIX;KY;KX
349267,07142522;6574300,85644693;126;Fietsnetwerk Leiestreek;6352-6356;FIX;KX;KT
348014,07368681;6576043,31923860;126;Fietsnetwerk Leiestreek;6351-6352;FIX;KT;KS
